Sr.No.,E.Code,Name,DOJ,Total Basic,Total HRA,Total Spl. Allowance,Total KRA,Gross Salary,Basic,HRA,Spl. Allowance,KRA,Net Salary,PT,TDS,Total Deduction,Net Pay,Email,Designation,Bank Name,Bank A/c No.,IFSC Code,Performance Bonus,Office Expense,Leave Payment
1,VT001,Devdatta Dahanukar,01-Jan-19,50000,15000,25000,3000,93000,50000,15000,25000,3000,93000,200,4000,4200,88800,d.dahanukar@vitec.co.in,Lead Developer,HDFC Bank,50100011112201,HDFC0000685,0,0,0
2,VT003,Atul Jadhav,01-Jan-19,50000,15000,25000,3000,93000,50000,15000,25000,3000,93000,200,4000,4200,88800,a.jadhav@vitec.co.in,Lead Developer,ICICI Bank,00112233440003,ICIC0001234,0,0,0
3,VT005,Nikhil More,01-Jan-19,50000,15000,25000,3000,93000,50000,15000,25000,3000,93000,200,4000,4200,88800,n.more@vitec.co.in,Lead Developer,State Bank of India,33445566770005,SBIN0004321,0,0,0
4,VT021,Shreyash Bari,01-Jun-22,35000,10500,17500,2000,65000,35000,10500,17500,2000,65000,200,1000,1200,63800,s.bari@vitec.co.in,Senior Developer,Axis Bank,77889900110021,UTIB0000567,0,0,0
5,VT023,Dipesh Patil,01-Apr-25,35000,10500,17500,2000,65000,35000,10500,17500,2000,65000,200,1000,1200,63800,d.patil@vitec.co.in,Senior Developer,Kotak Bank,99887766550023,KKBK0000789,0,0,0
6,VT022,Mansi Tupe,11-Feb-25,22000,6600,11000,1000,40600,22000,6600,11000,1000,40600,200,0,200,40400,m.tupe@vitec.co.in,Junior Developer,HDFC Bank,50100011110022,HDFC0000685,0,0,0
7,VT019,Dipak Suryawanshi,01-Jun-23,35000,10500,17500,2000,65000,35000,10500,17500,2000,65000,200,1000,1200,63800,d.suryavanshi@vitec.co.in,Senior Developer,Axis Bank,77889900110019,UTIB0000567,0,0,0
8,VT018,Bhavesh Bhimra,01-Oct-21,35000,10500,17500,2000,65000,35000,10500,17500,2000,65000,200,1000,1200,63800,b.bhimra@vitec.co.in,Senior Developer,ICICI Bank,00112233440018,ICIC0001234,0,0,0
9,VT016,Divesh Bari,01-Mar-21,35000,10500,17500,2000,65000,35000,10500,17500,2000,65000,200,1000,1200,63800,divesh.bari@vitec.co.in,Senior Developer,State Bank of India,33445566770016,SBIN0004321,0,0,0
10,VT009,Vanmala Shinde,01-Jan-19,45000,13500,22500,2000,83000,45000,13500,22500,2000,83000,200,2500,2700,80300,hr@vitec.co.in,Accounts Manager,HDFC Bank,50100011110009,HDFC0000685,0,0,0
11,VT010,Paul Sebastian,17-Jun-19,35000,10500,17500,2000,65000,35000,10500,17500,2000,65000,200,1000,1200,63800,p.sebastian@vitec.co.in,Senior Developer,Kotak Bank,99887766550010,KKBK0000789,0,0,0
12,VT024,Viraj Kadam,18-May-26,15000,4500,7500,0,27000,15000,4500,7500,0,27000,200,0,200,26800,kadamviraj599@gmail.com,Trainee Developer,HDFC Bank,50100011110024,HDFC0000685,0,0,0
