Employee ID,Name,Reason,Action
VT0001,ABC,Row 2: Missing Designation for E.Code VT0001,Correct CSV data
VT0002,John Doe,Row 3: Missing Designation for E.Code VT0002,Correct CSV data
VT0003,Jane Smith,Row 4: Missing Designation for E.Code VT0003,Correct CSV data
VT0004,Robert Lee,Row 5: Missing Designation for E.Code VT0004,Correct CSV data
VT0005,Emily Davis,Row 6: Missing Designation for E.Code VT0005,Correct CSV data
VT0001,ABC,Row 2: Missing Designation for E.Code VT0001,Correct CSV data
VT0002,John Doe,Row 3: Missing Designation for E.Code VT0002,Correct CSV data
VT0003,Jane Smith,Row 4: Missing Designation for E.Code VT0003,Correct CSV data
VT0004,Robert Lee,Row 5: Missing Designation for E.Code VT0004,Correct CSV data
VT0005,Emily Davis,Row 6: Missing Designation for E.Code VT0005,Correct CSV data
